                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2037,                 2.5116,                 1.1518,                0.00289,                0.76471,                0.25151,                0.14869,                 1.3354,                   4.06,                 1.2937,                0.00065,                0.00065,                0.00065
                      2,                 1.1617,                 1.6144,                 1.0714,                 0.1744,                 0.2549,                0.11569,                0.08289,                 1.2199,                 3.7056,                 1.1503,              0.0012906,              0.0012906,              0.0012906
                      3,                  1.232,                 1.4681,                  1.117,                0.47173,                0.54286,                0.41045,                0.25135,                  1.222,                 2.8311,                  1.107,              0.0019048,              0.0019048,              0.0019048
                      4,                 1.1842,                 1.2662,                 1.0994,                0.72743,                0.64706,                0.70849,                0.44257,                 1.2084,                 2.0323,                 1.1414,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1288,                 1.1465,                 1.0824,                0.86109,                0.66667,                0.81896,                0.55971,                 1.0736,                 1.3965,                 1.1246,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1043,                 1.0261,                 1.0658,                 0.6311,                0.58824,                0.58532,                0.39076,                 1.2204,                 1.7209,                  1.188,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1039,                0.95405,                 1.0742,                0.96549,                0.66667,                0.84272,                0.54905,                 1.1033,                 1.1647,                 1.0652,               0.001802,               0.001802,               0.001802
                      8,                 1.0702,                0.91457,                 1.0549,                0.88042,                0.72189,                0.80408,                0.54771,                 1.1462,                 1.1075,                 1.1108,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0508,                0.82106,                 1.0412,                0.90046,                0.66667,                 0.7453,                0.46683,                 1.2691,                 1.1973,                 1.1359,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0437,                0.80313,                 1.0311,                0.81407,                0.80392,                  0.866,                0.57343,                 1.0889,                 0.9119,                 1.0271,              0.0016832,              0.0016832,              0.0016832
                     11,                0.94589,                0.73466,                 0.9998,                0.85652,                0.81943,                0.89281,                0.61335,                 1.0029,                0.76369,                0.99851,              0.0016436,              0.0016436,              0.0016436
                     12,                0.93441,                0.70002,                 1.0013,                0.90365,                0.73569,                0.81824,                0.57721,                 1.0629,                 1.0183,                 1.0884,               0.001604,               0.001604,               0.001604
